Order Date,Order Number,Practitioner Name,Practitioner Email,Patient Name,Patient Email,Patient Phone,Product Name,Lot Number,Ordered Quantity
12/16/2019,SUN000000001," Practitioner2 Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ba Ji Tian,B506580,0.90000
12/16/2019,SUN000000002," Practitioner2testtesttestJESSICAFREDDIE Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ba Ji Tian,B506580,1.00000
12/16/2019,SUN000000003," Practitioner2t Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ai Ye,B506619,1.00000
12/17/2019,SUN000000005," Practitioner2testtesttestJESSICAFREDDIE Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ai Ye,B506619,0.90000
12/18/2019,SUN0000000014," Practitioner2testtesttest Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ba Ji Tian,B506580,0.90000
12/24/2019,SUN0000000021," Practitioner2testtesttest Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ba Ji Tian,B506580,0.90000
01/06/2020,SUN0000000022," Practitioner2testtesttest Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ai Ye,B506619,9.90000
01/14/2020,SUN0000000034," Practitioner2testtesttestJESSICA Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ba Ji Tian,B506580,90.00000
01/31/2020,SUN0000000047," Practitioner2testtesttestJESSICAFREDDIE Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ba Ji Tian,B506580,90.00000
01/31/2020,SUN0000000048," Practitioner2testtesttestJESSICAFREDDIE Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ba Ji Tian,B506580,90.00000
01/31/2020,SUN0000000046," Practitioner2testtesttestJESSICAFREDDIE Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ba Ji Tian,B506580,90.00000
02/11/2020,SUN0000000063," Practitioner2t Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ba Ji Tian,B506580,90.00000
02/11/2020,SUN0000000065," Practitioner2t Practitioner2",practitioner@mail.com," Astragalus Cardiaca",Astragalus.Cardiaca@local.com,921-498-402,Ba Ji Tian,B506580,90.00000
02/11/2020,SUN0000000058," Practitioner2t Practitioner2",practitioner@mail.com," claudiu test",test.test@test.com,213213123,Ba Zhen Tang,603434C,90.00000
